Player,Team,Conference,Date,Position,Height,Weight,Age,Draft_Year,Seasons_in_league,Season,Season_short,Pre_draft_Team,Real_value,Height_CM,Weight_KG,Last_Season
Kenny Carr,Cleveland Cavaliers,,1-Feb-81,GF,6'7,220,25,1977,3,1980-1981,1981,NC State,1,201,99,0
Phil Ford,Kansas City Kings,,25-Jan-81,G,6'2,175,25,1978,2,1980-1981,1981,North Carolina,1,188,79,0
Julius Erving,Philadelphia Sixers,,18-Jan-81,SF,6'6,200,31,1972,8,1980-1981,1981,Massachusetts,1,198,90,0
Tiny Archibald,Boston Celtics,,11-Jan-81,PG,6'1,150,32,1970,10,1980-1981,1981,UTEP,1,185,68,0
Bernard King,Golden State Warriors,,4-Jan-81,SF,6'7,205,24,1977,3,1980-1981,1981,Tennessee,1,201,93,0
Dennis Johnson,Phoenix Suns,,28-Dec-80,PG,6'4,185,26,1976,4,1980-1981,1981,Pepperdine,1,193,83,0
Kareem Abdul-Jabbar,Los Angeles Lakers,,21-Dec-80,C,7'2,225,33,1969,11,1980-1981,1981,UCLA,1,218,102,0
Dan Roundfield,Atlanta Hawks,,14-Dec-80,PF,6'8,205,27,1975,4,1980-1981,1981,Central Michigan,1,203,93,0
"Mike Dunleavy, Sr.",Houston Rockets,,7-Dec-80,G,6'3,180,26,1976,4,1980-1981,1981,South Carolina,1,190,81,0
Robert Parish,Boston Celtics,,30-Nov-80,C,7'0,230,27,1976,3,1980-1981,1981,Centenary,1,213,104,0
Artis Gilmore,Chicago Bulls,,23-Nov-80,C,7'2,240,31,1971,4,1980-1981,1981,Jacksonville,1,218,108,0
Billy Knight,Indiana Pacers,,16-Nov-80,GF,6'6,195,28,1974,4,1980-1981,1981,Pittsburgh,1,198,88,0
Elvin Hayes,Washington Bullets,,9-Nov-80,FC,6'9,235,35,1968,12,1980-1981,1981,Houston,1,206,106,0
David Thompson,Denver Nuggets,,2-Nov-80,GF,6'5,195,26,1975,4,1980-1981,1981,NC State,1,196,88,0
Otis Birdsong,Kansas City Kings,,26-Oct-80,GF,6'3,190,25,1977,3,1980-1981,1981,Houston,1,190,86,0
Adrian Dantley,Utah Jazz,,19-Oct-80,SF,6'5,208,25,1976,4,1980-1981,1981,Notre Dame,1,196,94,0
Kevin Grevey,Washington Bullets,,30-Mar-80,GF,6'5,210,26,1975,4,1979-1980,1980,Kentucky,1,196,95,0
Billy Ray Bates,Portland Trail Blazers,,23-Mar-80,SG,6'4,210,23,1978,1,1979-1980,1980,Kentucky State,1,193,95,0
Magic Johnson,Los Angeles Lakers,,16-Mar-80,PG,6'9,255,20,1979,0,1979-1980,1980,Michigan State,1,206,115,0
Cliff Robinson,New Jersey Nets,,9-Mar-80,F,6'9,220,19,1979,0,1979-1980,1980,USC,1,206,99,0
Larry Bird,Boston Celtics,,2-Mar-80,SF,6'9,220,23,1978,0,1979-1980,1980,Indiana State,1,206,99,0
Calvin Natt,Portland Trail Blazers,,24-Feb-80,F,6'6,220,23,1979,0,1979-1980,1980,Louisiana-Monroe,1,198,99,0
Kareem Abdul-Jabbar,Los Angeles Lakers,,17-Feb-80,C,7'2,225,32,1969,10,1979-1980,1980,UCLA,1,218,102,0
Rick Barry,Houston Rockets,,10-Feb-80,F,6'7,205,35,1965,9,1979-1980,1980,Miami (FL),1,201,93,0
George Gervin,San Antonio Spurs,,27-Jan-80,GF,6'7,180,27,1974,3,1979-1980,1980,Eastern Michigan,1,201,81,0
Dennis Johnson,Seattle SuperSonics,,20-Jan-80,PG,6'4,185,25,1976,3,1979-1980,1980,Pepperdine,1,193,83,0
Greg Ballard,Washington Bullets,,13-Jan-80,F,6'7,215,25,1977,2,1979-1980,1980,Oregon,1,201,97,0
Scott Wedman,Kansas City Kings,,6-Jan-80,GF,6'7,215,27,1974,5,1979-1980,1980,Colorado,1,201,97,0
Mike Mitchell,Cleveland Cavaliers,,30-Dec-79,F,6'7,215,24,1978,1,1979-1980,1980,Auburn,1,201,97,0
Swen Nater,San Diego Clippers,,23-Dec-79,C,6'11,240,30,1973,3,1979-1980,1980,UCLA,1,211,108,0
Dan Roundfield,Atlanta Hawks,,16-Dec-79,PF,6'8,205,26,1975,3,1979-1980,1980,Central Michigan,1,203,93,0
Kareem Abdul-Jabbar,Los Angeles Lakers,,9-Dec-79,C,7'2,225,32,1969,10,1979-1980,1980,UCLA,1,218,102,0
Adrian Dantley,Utah Jazz,,2-Dec-79,SF,6'5,208,24,1976,3,1979-1980,1980,Notre Dame,1,196,94,0
Walter Davis,Phoenix Suns,,25-Nov-79,GF,6'6,193,25,1977,2,1979-1980,1980,North Carolina,1,198,87,0
Phil Ford,Kansas City Kings,,18-Nov-79,G,6'2,175,24,1978,1,1979-1980,1980,North Carolina,1,188,79,0
Magic Johnson,Los Angeles Lakers,,11-Nov-79,PG,6'9,255,20,1979,0,1979-1980,1980,Michigan State,1,206,115,0
Marques Johnson,Milwaukee Bucks,,4-Nov-79,GF,6'7,218,24,1977,2,1979-1980,1980,UCLA,1,201,98,0
Micheal Ray Richardson,New York Knicks,,28-Oct-79,PG,6'5,189,24,1978,1,1979-1980,1980,Montana,1,196,85,0
Julius Erving,Philadelphia Sixers,,21-Oct-79,SF,6'6,200,30,1972,7,1979-1980,1980,Massachusetts,1,198,90,0
